"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
3092381,"       (2001 TY44)","2001 TY44",,,Y,N,0,20.30,,,,,,,,,,,,,,,X,,,,"JPL 37",2460000.5,60000,2023-02-25.0,J2000,0.5222,2.357,1.126,2.53,356.68,73.44,306.99,3.59,0.2724,2460195.12,2023-09-07.6,1.32e+03,3.62,0.146,56.8,1.76,3.35,4.2e-08,3.1e-08,9.6e-08,5.3e-06,1.4e-04,1.7e-04,6.4e-05,4.7e-08,5.3e-09,2.4e-04,2.6e-05,AMO,"Otto Matic",6529,2001-10-12,2019-08-28,147,,,0,.56994,,,,,,,,,
3092384,"       (2001 TB45)","2001 TB45",,,Y,N,0,18.92,,,,,,,,,,,,,,,,,,,"JPL 26",2460000.5,60000,2023-02-25.0,J2000,0.5726,3.009,1.286,24.99,26.98,38.66,30.24,4.73,0.1888,2459840.38,2022-09-17.8,1.91e+03,5.22,0.356,139,1.28,2.86,2.9e-07,1.2e-07,8.4e-07,3.6e-05,2.5e-05,1.0e-04,8.4e-05,1.9e-07,1.1e-08,4.4e-04,1.2e-04,AMO,"Otto Matic",7856,2001-09-23,2023-03-28,93,,,0,.52015,,,,,,,,,
3092385,"       (2001 TC45)","2001 TC45",,,Y,Y,0,19.53,,,,,,,,,,,,,,,Sq,,,,"JPL 12",2460000.5,60000,2023-02-25.0,J2000,0.6424,2.218,0.793,15.47,35.16,67.04,147.26,3.64,0.2985,2459507.10,2021-10-19.5,1.21e+03,3.3,0.0238,9.25,1.9,3.31,7.2e-08,9.0e-09,1.6e-07,3.5e-05,1.7e-05,3.1e-05,1.1e-05,1.5e-08,1.8e-09,3.4e-05,7.4e-06,APO,"Otto Matic",7273,2001-10-15,2021-09-13,155,,,0,.58128,,,,,,,,,
3092387,"       (2001 TE45)","2001 TE45",,,Y,N,0,22.90,,,,,,,,,,,,,,,,,,,"JPL 11",2452200.5,52200,2001-10-18.0,J2000,0.4641,1.812,0.971,14.64,208.87,120.20,19.71,2.65,0.4041,2452151.72,2001-08-30.2,891,2.44,0.0971,37.8,2.86,3.88,3.5e-03,1.2e-02,3.9e-05,8.1e-02,5.4e-03,2.4e-02,2.1e-01,1.7e-02,3.9e-03,5.6e-02,8.6e+00,APO,"Otto Matic",6,2001-10-15,2001-10-21,26,,,9,.73591,,,,,,,,,
3092389,"       (2001 UO)","2001 UO",,,Y,N,0,24.10,,,,,,,,,,,,,,,,,,,"JPL 8",2452199.5,52199,2001-10-17.0,J2000,0.6736,2.547,0.832,10.08,24.09,300.50,10.27,4.26,0.2424,2452157.13,2001-09-04.6,1.48e+03,4.07,0.015,5.83,1.27,3.06,2.8e-03,2.1e-02,4.5e-04,3.2e-02,5.0e-03,9.4e-03,1.3e-01,3.4e-02,2.9e-03,4.2e-02,1.8e+01,APO,"Otto Matic",2,2001-10-16,2001-10-18,14,,,8,.93762,,,,,,,,,
3092390,"       (2001 UP)","2001 UP",,,Y,N,0,25.70,,,,,,,,,,,,,,,,,,,"JPL 19",2460000.5,60000,2023-02-25.0,J2000,0.2873,0.8837,0.630,7.69,25.43,133.46,144.54,1.14,1.186,2459878.68,2022-10-26.1,303,0.831,0.00624,2.43,3.84,6.67,6.6e-07,4.4e-07,8.3e-07,1.5e-04,4.9e-05,1.5e-04,3.4e-03,5.7e-07,9.0e-07,2.8e-03,2.3e-04,ATE,"Otto Matic",4,2001-10-16,2001-10-20,42,0,3,3,.4083,,,,,,,,,
3092391,"       (2001 UX4)","2001 UX4",,,Y,N,0,19.36,,,,,,,,,,,,,,,,,,,"JPL 49",2460000.5,60000,2023-02-25.0,J2000,0.7533,1.72,0.424,8.97,182.31,333.98,137.44,3.02,0.4368,2459685.87,2022-04-16.3,824,2.26,0.109,42.3,2.01,3.77,7.0e-08,2.7e-09,1.2e-07,1.6e-05,6.2e-05,5.9e-05,7.8e-06,4.8e-09,1.0e-09,1.7e-05,2.0e-06,APO,"Otto Matic",7551,2001-10-16,2022-06-19,250,,,0,.49516,,,,,,,,,
3092393,"       (2001 UZ4)","2001 UZ4",,,Y,N,0,20.60,,,,,,,,,,,,,,,,,,,"JPL 9",2452198.5,52198,2001-10-16.0,J2000,0.5525,2.894,1.295,24.01,17.88,11.55,357.70,4.49,0.2002,2452210.00,2001-10-27.4,1.8e+03,4.92,0.303,118,1.05,2.93,2.8e-03,2.0e-02,1.0e-03,7.0e-02,6.0e-03,2.4e-02,2.9e-02,3.1e-02,2.1e-03,2.6e-02,1.9e+01,AMO,"Otto Matic",13,2001-10-08,2001-10-21,24,,,8,.63837,,,,,,,,,
3092395,"       (2001 UB5)","2001 UB5",,,Y,N,0,21.90,,,,,,,,,,,,,,,,,,,"JPL 8",2452202.5,52202,2001-10-20.0,J2000,0.3397,1.699,1.122,46.94,27.26,8.37,357.37,2.28,0.4451,2452208.40,2001-10-25.9,809,2.21,0.129,50.3,3.19,3.8,2.0e-02,5.4e-02,2.3e-03,6.6e-01,5.2e-02,2.7e-01,2.7e-01,7.2e-02,2.1e-02,3.2e-01,3.9e+01,AMO,"Otto Matic",3,2001-10-18,2001-10-21,17,,,9,.85855,,,,,,,,,
3092397,"       (2001 UC5)","2001 UC5",,,Y,N,0,21.30,,,,,,,,,,0.02931,,,,,X,,,,"JPL 13",2452206.5,52206,2001-10-24.0,J2000,0.6271,2.742,1.023,30.45,28.37,23.96,356.12,4.46,0.2171,2452224.38,2001-11-10.8,1.66e+03,4.54,0.0599,23.3,1.29,2.87,4.7e-03,3.6e-02,2.5e-04,1.1e-01,4.5e-05,4.7e-02,8.9e-02,5.8e-02,4.2e-03,6.2e-02,3.2e+01,AMO,"Otto Matic",6,2001-10-20,2001-10-26,70,,,9,.376,,,,,,,,,
3092398,"       (2001 UD5)","2001 UD5",,,Y,N,0,22.70,,,,,,,,,,,,,,,,,,,"JPL 9",2452208.5,52208,2001-10-26.0,J2000,0.6663,2.28,0.761,2.53,19.00,290.34,17.88,3.80,0.2863,2452146.03,2001-08-24.5,1.26e+03,3.44,0.00266,1.04,1.5,3.27,1.2e-03,7.4e-03,3.5e-04,4.0e-03,5.3e-03,1.2e-02,9.4e-02,1.2e-02,1.4e-03,2.2e-02,6.1e+00,APO,"Otto Matic",23,2001-10-19,2001-11-11,31,,,8,.40944,,,,,,,,,
3092399,"       (2001 UE5)","2001 UE5",,,Y,N,0,18.82,,,,,,,,,,,,,,,,,,,"JPL 49",2460000.5,60000,2023-02-25.0,J2000,0.5132,2.217,1.079,7.55,40.79,283.54,182.90,3.36,0.2985,2460593.77,2024-10-10.2,1.21e+03,3.3,0.146,56.9,2.06,3.46,6.8e-08,1.3e-08,1.5e-07,1.8e-05,3.9e-05,4.7e-05,2.5e-05,2.0e-08,2.6e-09,9.0e-05,1.1e-05,AMO,"Otto Matic",7470,2001-06-16,2021-11-28,142,,,0,.58268,,,,,,,,,
3092400,"       (2001 UF5)","2001 UF5",,,Y,N,0,22.70,,,,,,,,,,0.261,,,,,,,,,"JPL 14",2452202.5,52202,2001-10-20.0,J2000,0.7037,2.331,0.691,0.92,56.24,53.24,345.43,3.97,0.2769,2452255.10,2001-12-11.6,1.3e+03,3.56,0.00588,2.29,1.21,3.18,2.4e-03,1.7e-02,6.6e-04,2.2e-03,1.8e-02,1.3e-02,1.7e-01,2.8e-02,2.9e-03,5.7e-02,1.4e+01,APO,"Otto Matic",19,2001-10-07,2001-10-26,50,,,8,.68196,,,,,,,,,
3092402,"       (2001 UN16)","2001 UN16",,,Y,N,0,23.40,,,,,,,,,,,,,,,,,,,"JPL 11",2452219.5,52219,2001-11-06.0,J2000,0.4513,1.8,0.988,1.65,210.42,143.88,17.14,2.61,0.4082,2452177.51,2001-09-25.0,882,2.41,0.00943,3.67,2.83,3.94,1.2e-03,3.8e-03,9.0e-06,3.0e-03,4.8e-03,4.1e-03,5.7e-02,5.5e-03,1.3e-03,6.7e-03,2.8e+00,APO,"Otto Matic",30,2001-10-21,2001-11-20,17,,,8,.71799,,,,,,,,,
3092403,"       (2001 UP16)","2001 UP16",,,Y,N,0,20.70,,,,,,,,,,,,,,,,,,,"JPL 16",2460000.5,60000,2023-02-25.0,J2000,0.4174,2.219,1.293,4.33,214.18,192.63,158.89,3.14,0.2983,2459467.78,2021-09-10.2,1.21e+03,3.3,0.301,117,2.27,3.53,4.4e-07,7.5e-08,9.4e-07,1.2e-05,1.0e-04,2.1e-04,1.8e-04,1.1e-07,1.5e-08,5.7e-04,6.2e-05,AMO,"Otto Matic",3781,2001-10-07,2012-02-13,74,,,1,.538,,,,,,,,,
3092404,"       (2001 UQ16)","2001 UQ16",,,Y,N,0,21.30,,,,,,,,,,,,,,,,,,,"JPL 10",2452204.5,52204,2001-10-22.0,J2000,0.5512,2.728,1.225,30.82,29.68,10.02,357.70,4.23,0.2187,2452215.00,2001-11-01.4,1.65e+03,4.51,0.235,91.5,1.28,2.94,5.4e-03,3.5e-02,1.2e-03,1.4e-01,7.0e-03,3.0e-02,5.2e-02,5.5e-02,4.2e-03,3.5e-02,3.2e+01,AMO,"Otto Matic",11,2001-10-15,2001-10-26,24,,,9,.73664,,,,,,,,,
3092408,"       (2001 UT16)","2001 UT16",,,Y,N,0,25.50,,,,,,,,,,,,,,,,,,,"JPL 8",2452207.5,52207,2001-10-25.0,J2000,0.5309,2.163,1.015,7.02,210.98,190.37,357.43,3.31,0.3097,2452215.78,2001-11-02.2,1.16e+03,3.18,0.0249,9.68,2.12,3.49,6.1e-03,2.9e-02,3.0e-04,6.0e-02,2.1e-03,1.1e-01,7.2e-02,4.4e-02,6.2e-03,1.0e-01,2.3e+01,APO,"Otto Matic",1,2001-10-24,2001-10-25,9,,,9,.32033,,,,,,,,,
3092406,"       (2001 UU16)","2001 UU16",,,Y,N,0,24.90,,,,,,,,,,,,,,,,,,,"JPL 8",2460000.5,60000,2023-02-25.0,J2000,0.4153,1.728,1.011,13.30,31.37,19.15,133.38,2.45,0.4338,2459693.00,2022-04-23.4,830,2.27,0.0301,11.7,2.98,4.03,5.8e-04,1.8e-03,4.1e-05,1.4e-02,8.6e-04,3.2e-03,5.5e+00,2.5e-03,6.7e-04,1.2e+01,1.3e+00,APO,"Otto Matic",2,2001-10-24,2001-10-26,24,,,7,1.0333,,,,,,,,,
