"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20000433,"   433 Eros (A898 PA)",433,Eros,,Y,N,0,10.41,0.46,,,,,,16.84,34.4x11.2x11.2,0.25,5.27,4.463e-04,0.921,0.531,,S,S,,0.06,"JPL 659",2460000.5,60000,2023-02-25.0,J2000,0.2228,1.458,1.133,10.83,304.29,178.93,110.78,1.78,0.5598,2459802.60,2022-08-11.1,643,1.76,0.149,57.9,3.29,4.58,9.4e-09,1.6e-10,1.4e-08,1.2e-06,3.6e-06,4.0e-06,1.4e-06,1.9e-10,9.1e-11,2.6e-06,1.0e-07,AMO,Giorgini,46582,1893-10-29,2021-05-13,9130,4,2,0,.29796,,,,,,,,,
20000719,"   719 Albert (A911 TB)",719,Albert,,Y,N,0,15.59,,,,,,,,,,5.801,,,,,S,,,,"JPL 257",2460000.5,60000,2023-02-25.0,J2000,0.5470,2.637,1.195,11.58,183.86,156.25,10.24,4.08,0.2301,2459956.02,2023-01-11.5,1.56e+03,4.28,0.2,77.8,1.42,3.14,2.1e-08,2.5e-09,5.7e-08,2.8e-06,1.5e-05,1.5e-05,2.7e-06,3.9e-09,3.3e-10,1.2e-05,2.3e-06,AMO,"Otto Matic",40483,1911-10-04,2022-08-05,2035,,,0,.41003,,,,,,,,,
20000887,"   887 Alinda (A918 AA)",887,Alinda,,Y,N,0,13.88,-0.12,,,,,,4.2,,0.31,28.41,,0.832,0.436,,,S,,,"JPL 441",2460000.5,60000,2023-02-25.0,J2000,0.5707,2.472,1.061,9.40,110.42,350.48,188.04,3.88,0.2535,2460678.79,2025-01-03.2,1.42e+03,3.89,0.0801,31.2,1.32,3.22,3.8e-09,1.3e-09,9.3e-09,1.9e-07,1.6e-06,1.1e-06,6.0e-07,2.0e-09,2.0e-10,2.8e-06,1.1e-06,AMO,"Otto Matic",38506,1918-02-03,2023-07-08,3064,,,0,.3819,,,,,,,,,
20001036,"  1036 Ganymed (A924 UB)",1036,Ganymed,,Y,N,0,9.26,0.30,,,,,,37.675,,0.238,10.297,,0.842,0.417,,S,S,,0.40,"JPL 1119",2460000.5,60000,2023-02-25.0,J2000,0.5330,2.666,1.245,26.69,215.50,132.47,231.16,4.09,0.2264,2460569.53,2024-09-16.0,1.59e+03,4.35,0.344,134,1.95,3.03,5.8e-10,1.6e-09,1.1e-09,2.6e-08,8.8e-08,1.2e-07,5.1e-07,2.4e-09,2.0e-10,2.7e-06,1.4e-06,AMO,"Otto Matic",36059,1924-10-23,2023-07-15,9756,0,1,0,.32887,,,,,,,,,
20001221,"  1221 Amor (1932 EA1)",1221,Amor,,Y,N,0,17.37,,,,,,,1.0,,,,,,,,,,,,"JPL 111",2460000.5,60000,2023-02-25.0,J2000,0.4358,1.919,1.083,11.88,171.32,26.63,49.38,2.76,0.3708,2459867.32,2022-10-14.8,971,2.66,0.106,41.4,2.21,3.78,3.3e-08,9.7e-10,6.4e-08,4.5e-06,2.1e-05,2.3e-05,7.8e-06,1.4e-09,2.8e-10,2.1e-05,7.4e-07,AMO,"Otto Matic",32775,1932-03-12,2021-12-05,585,,,0,.44014,,,,,,,,,
20001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,0,16.59,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"JPL 154",2460000.5,60000,2023-02-25.0,J2000,0.8269,1.078,0.187,22.80,87.95,31.44,352.55,1.97,0.8804,2460008.96,2023-03-05.4,409,1.12,0.0339,13.2,3.22,5.3,1.2e-08,2.5e-09,1.3e-08,3.6e-06,1.2e-06,2.0e-06,7.8e-06,4.6e-09,3.1e-09,8.9e-06,1.4e-06,APO,"Otto Matic",27042,1949-07-01,2023-07-15,1540,10,13,0,.32284,,,,-3.4e-15,6.0e-16,,,,
20001580,"  1580 Betulia (1950 KA)",1580,Betulia,,Y,N,0,14.69,0.00,,,,,,5.8,,0.08,6.1324,,0.656,0.249,,,C,,,"JPL 277",2460000.5,60000,2023-02-25.0,J2000,0.4870,2.198,1.127,52.10,62.26,159.55,137.66,3.27,0.3026,2459545.51,2021-11-27.0,1.19e+03,3.26,0.137,53.3,1.86,3.06,2.2e-08,3.8e-10,4.8e-08,8.0e-06,2.4e-06,6.1e-06,1.8e-06,5.6e-10,7.7e-11,6.0e-06,3.0e-07,AMO,"Otto Matic",26512,1950-05-22,2022-12-22,1509,5,6,0,.5103,,,,,,,,,
20001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,0,15.27,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"JPL 745",2460000.5,60000,2023-02-25.0,J2000,0.3355,1.246,0.828,13.34,337.17,276.96,224.05,1.66,0.7089,2460192.27,2023-09-04.7,508,1.39,0.0294,11.5,3.45,5.07,8.4e-09,8.3e-10,1.1e-08,4.4e-07,2.0e-06,2.8e-06,2.7e-06,1.1e-09,7.1e-10,3.9e-06,5.1e-07,APO,"Otto Matic",26152,1951-09-14,2023-04-21,7984,3,4,0,.27978,,,,-2.8e-15,9.6e-16,,,,
20001627,"  1627 Ivar (1929 SH)",1627,Ivar,,Y,N,0,12.85,0.60,,,,,,9.12,,0.15,4.795,,0.872,0.459,,S,S,,,"JPL 1245",2460000.5,60000,2023-02-25.0,J2000,0.3965,1.864,1.125,8.45,133.12,167.81,284.00,2.60,0.3874,2460196.68,2023-09-09.1,929,2.54,0.112,43.4,2.65,3.88,2.2e-09,8.0e-10,4.0e-09,8.5e-08,7.0e-07,8.0e-07,9.5e-07,1.1e-09,2.5e-10,2.6e-06,6.0e-07,AMO,"Otto Matic",34263,1929-09-25,2023-07-17,12732,2,1,0,.28897,,,,,,,,,
20001685,"  1685 Toro (1948 OA)",1685,Toro,,Y,N,0,14.33,,,,,,,3.4,,0.31,10.1995,,0.880,0.470,,S,S,,,"JPL 662",2460000.5,60000,2023-02-25.0,J2000,0.4360,1.368,0.771,9.38,274.22,127.23,186.57,1.96,0.6163,2460281.91,2023-12-03.4,584,1.6,0.0511,19.9,3.48,4.71,9.3e-10,4.7e-10,1.2e-09,4.6e-08,1.6e-07,1.9e-07,7.6e-07,6.8e-10,3.2e-10,1.4e-06,3.0e-07,APO,"Otto Matic",27397,1948-07-17,2023-07-21,4378,7,2,0,.30408,,,,-3.0e-15,4.6e-16,,,,
20001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,1,16.10,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,"JPL 476",2460000.5,60000,2023-02-25.0,J2000,0.5599,1.471,0.647,6.35,35.56,286.06,281.25,2.29,0.5526,2460143.00,2023-07-17.5,651,1.78,0.0262,10.2,3.07,4.41,8.7e-09,4.0e-10,1.3e-08,2.7e-06,1.3e-05,1.4e-05,2.3e-06,6.2e-10,2.2e-10,4.2e-06,2.7e-07,APO,"Otto Matic",33768,1930-12-13,2023-05-27,2889,8,9,0,.42831,,,,-3.8e-15,3.2e-16,,,,
20001863,"  1863 Antinous (1948 EA)",1863,Antinous,,Y,N,0,15.44,,,,,,,2.1,,0.24,7.453,,0.763,0.359,,Sq,SU,,,"JPL 210",2460000.5,60000,2023-02-25.0,J2000,0.6058,2.259,0.891,18.40,346.42,268.07,0.10,3.63,0.2902,2460000.16,2023-02-24.6,1.24e+03,3.4,0.184,71.6,2.01,3.3,2.6e-08,1.6e-09,5.9e-08,5.3e-06,1.1e-05,1.2e-05,3.4e-06,2.6e-09,3.1e-10,1.2e-05,1.3e-06,APO,"Otto Matic",27402,1948-03-05,2023-03-14,1105,,,0,.4862,,,,,,,,,
20001864,"  1864 Daedalus (1971 FA)",1864,Daedalus,,Y,N,0,14.88,,,,,,,3.7,,0.273,8.572,,0.830,0.500,,Sr,SQ,,,"JPL 636",2460000.5,60000,2023-02-25.0,J2000,0.6145,1.461,0.563,22.22,6.61,325.67,59.37,2.36,0.5582,2459894.14,2022-11-10.6,645,1.77,0.269,105,3.12,4.34,1.6e-08,2.8e-09,2.3e-08,1.4e-06,2.2e-06,1.2e-06,5.1e-06,4.6e-09,1.6e-09,8.8e-06,1.9e-06,APO,"Otto Matic",19016,1971-03-24,2023-04-16,4520,1,0,0,.3323,,,,,,,,,
20001865,"  1865 Cerberus (1971 UA)",1865,Cerberus,,Y,N,0,16.79,,,,,,,1.2,,0.22,6.8039,,0.790,0.442,,S,S,,,"JPL 356",2460000.5,60000,2023-02-25.0,J2000,0.4670,1.08,0.576,16.10,212.89,325.28,161.48,1.58,0.8782,2459816.62,2022-08-25.1,410,1.12,0.156,60.8,3.4,5.59,3.8e-08,1.2e-09,4.1e-08,3.7e-06,9.9e-06,1.1e-05,9.6e-06,1.7e-09,1.4e-09,1.1e-05,6.7e-07,APO,"Otto Matic",18260,1971-10-26,2021-10-23,2146,,,0,.37545,,,,,,,,,
20001866,"  1866 Sisyphus (1972 XA)",1866,Sisyphus,,Y,N,1,12.55,,,,,,,8.48,,0.15,2.4,,,,,S,,,,"JPL 884",2460000.5,60000,2023-02-25.0,J2000,0.5383,1.894,0.874,41.20,63.46,293.10,122.45,2.91,0.3782,2459676.75,2022-04-07.2,952,2.61,0.103,40,3.25,3.51,1.2e-09,1.6e-09,2.7e-09,8.8e-08,1.3e-07,3.1e-07,1.4e-06,2.5e-09,4.9e-10,3.3e-06,1.2e-06,APO,"Otto Matic",25008,1955-01-26,2023-07-16,7978,0,1,0,.29349,,,,,,,,,
20001915,"  1915 Quetzalcoatl (1953 EA)",1915,Quetzalcoatl,,Y,N,0,18.05,0.10,,,,,,0.5,,0.21,4.9,,0.784,0.430,,,SMU,,,"JPL 12",2460000.5,60000,2023-02-25.0,J2000,0.5704,2.544,1.093,20.40,162.94,347.80,138.62,3.99,0.243,2459429.95,2021-08-03.4,1.48e+03,4.06,0.109,42.4,1.06,3.12,2.3e-07,8.4e-08,5.9e-07,7.2e-05,6.4e-05,9.3e-05,1.7e-04,1.3e-07,1.2e-08,6.9e-04,7.3e-05,AMO,"Otto Matic",18842,1953-03-09,2004-10-09,51,0,1,0,.69647,,,,,,,,,
20001916,"  1916 Boreas (1953 RA)",1916,Boreas,,Y,N,0,14.95,,,,,,,3.5,,,3.4746,,0.852,0.407,,S,S,,,"JPL 329",2460000.5,60000,2023-02-25.0,J2000,0.4498,2.272,1.250,12.88,340.60,335.89,107.37,3.29,0.2878,2459627.40,2022-02-16.9,1.25e+03,3.42,0.251,97.5,2.07,3.44,3.4e-08,2.9e-09,7.8e-08,4.3e-06,1.2e-05,1.2e-05,5.2e-06,4.1e-09,5.4e-10,1.8e-05,2.4e-06,AMO,"Otto Matic",25367,1953-09-01,2023-02-13,1919,,,0,.45842,,,,,,,,,
20001917,"  1917 Cuyo (1968 AA)",1917,Cuyo,,Y,N,0,14.40,,,,,,,5.7,,0.195,2.689,,,,,Sl,,,,"JPL 557",2460000.5,60000,2023-02-25.0,J2000,0.5056,2.15,1.063,23.96,188.29,194.53,207.30,3.24,0.3127,2460488.84,2024-06-27.3,1.15e+03,3.15,0.0712,27.7,2.25,3.43,2.9e-08,5.1e-09,6.2e-08,3.7e-06,6.6e-06,7.4e-06,7.9e-06,7.6e-09,1.1e-09,2.7e-05,4.1e-06,AMO,"Otto Matic",25252,1954-05-06,2023-06-25,3241,0,2,0,.42581,,,,,,,,,
20001943,"  1943 Anteros (1973 EC)",1943,Anteros,,Y,N,0,15.71,,,,,,,2.3,,0.17,2.86923,,0.841,0.444,,L,S,,,"JPL 679",2460000.5,60000,2023-02-25.0,J2000,0.2560,1.43,1.064,8.71,246.31,338.36,44.36,1.80,0.5761,2459923.50,2022-12-09.9,625,1.71,0.0623,24.2,3.19,4.64,1.9e-08,9.4e-10,2.8e-08,2.0e-06,1.5e-05,1.6e-05,6.3e-06,1.2e-09,5.7e-10,1.1e-05,6.2e-07,AMO,"Otto Matic",18390,1973-03-10,2023-07-16,4992,,,0,.37303,,,,,,,,,
20001980,"  1980 Tezcatlipoca (1950 LA)",1980,Tezcatlipoca,,Y,N,0,13.87,,,,,,,4.3,,0.25,7.24612,,0.955,0.455,,Sl,SU,,,"JPL 691",2460000.5,60000,2023-02-25.0,J2000,0.3648,1.71,1.086,26.87,246.55,115.48,130.55,2.33,0.4409,2459704.43,2022-05-04.9,816,2.24,0.244,95.1,3.41,4,1.2e-08,1.3e-09,2.0e-08,1.3e-06,1.7e-06,3.1e-06,2.1e-06,1.8e-09,5.1e-10,4.6e-06,9.4e-07,AMO,"Otto Matic",26629,1950-06-19,2023-05-16,6739,,,0,.25756,,,,,,,,,
20001981,"  1981 Midas (1973 EA)",1981,Midas,,Y,Y,0,15.28,,,,,,,3.4,,,5.22,,,,,V,,,,"JPL 229",2460000.5,60000,2023-02-25.0,J2000,0.6500,1.777,0.622,39.83,356.85,267.82,9.03,2.93,0.4162,2459978.80,2023-02-03.3,865,2.37,0.00439,1.71,3.31,3.61,2.2e-08,2.7e-09,4.0e-08,5.2e-06,1.8e-06,5.1e-06,2.2e-06,4.4e-09,9.5e-10,5.3e-06,2.0e-06,APO,"Otto Matic",17760,1973-03-06,2021-10-20,1077,12,1,0,.39189,,,,,,,,,
20002059,"  2059 Baboquivari (1963 UA)",2059,Baboquivari,,Y,N,0,15.98,,,,,,,,,,129.47,,,,,,,,,"JPL 271",2460000.5,60000,2023-02-25.0,J2000,0.5318,2.642,1.237,11.02,200.69,192.44,273.62,4.05,0.2295,2460376.95,2024-03-07.4,1.57e+03,4.3,0.244,94.9,1.41,3.15,2.0e-08,4.2e-09,5.2e-08,3.2e-06,1.4e-05,1.5e-05,2.1e-06,6.5e-09,5.5e-10,9.1e-06,3.8e-06,AMO,"Otto Matic",21402,1963-10-16,2022-05-21,1462,,,0,.43618,,,,,,,,,
20002061,"  2061 Anza (1960 UA)",2061,Anza,,Y,N,0,16.70,,,,,,,2.6,,,6.712,,0.825,0.350,,,TCG:,,,"JPL 192",2460000.5,60000,2023-02-25.0,J2000,0.5360,2.265,1.051,3.80,207.36,157.06,109.83,3.48,0.2892,2459620.72,2022-02-10.2,1.24e+03,3.41,0.0541,21.1,1.99,3.41,2.2e-08,8.7e-10,5.0e-08,2.8e-06,4.4e-05,4.5e-05,1.6e-06,1.3e-09,1.7e-10,5.7e-06,7.2e-07,AMO,"Otto Matic",22802,1960-10-22,2023-03-28,1883,,,0,.34734,,,,,,,,,
20002062,"  2062 Aten (1976 AA)",2062,Aten,,Y,N,0,17.11,,,,,,,1.1,,0.26,42.15,,0.930,0.460,,Sr,S,,,"JPL 149",2460000.5,60000,2023-02-25.0,J2000,0.1828,0.967,0.790,18.93,108.54,148.05,76.11,1.14,1.037,2459927.07,2022-12-13.5,347,0.951,0.113,44,3.92,6.18,1.4e-09,9.3e-10,1.2e-09,7.1e-07,1.4e-06,1.7e-06,4.4e-06,1.1e-09,1.5e-09,4.1e-06,5.0e-07,ATE,Giorgini,23339,1955-12-17,2019-11-10,1024,5,2,0,.34905,,,,-1.1e-14,1.1e-15,,,,
20002063,"  2063 Bacchus (1977 HB)",2063,Bacchus,,Y,N,0,17.23,,,,,,,1.024,"1.11 x 0.53 x 0.50",0.203,14.904,,,,,Sq,,,0.02,"JPL 173",2460000.5,60000,2023-02-25.0,J2000,0.3494,1.078,0.701,9.43,33.06,55.35,74.23,1.45,0.8804,2459916.18,2022-12-02.6,409,1.12,0.0673,26.2,3.77,5.67,6.9e-09,2.0e-09,6.4e-09,5.9e-07,2.4e-06,2.8e-06,6.8e-06,2.7e-09,2.5e-09,7.5e-06,1.1e-06,APO,"Otto Matic",16874,1977-04-24,2023-07-06,990,7,5,0,.34067,,,,-8.2e-15,2.5e-15,,,,
20002100,"  2100 Ra-Shalom (1978 RA)",2100,Ra-Shalom,,Y,N,0,16.23,0.12,,,,,,2.3,,0.13,19.797,,0.712,0.310,,Xc,C,,0.20,"JPL 387",2460000.5,60000,2023-02-25.0,J2000,0.4366,0.832,0.469,15.76,170.78,356.08,30.42,1.20,1.299,2459977.07,2023-02-01.5,277,0.759,0.149,58.2,3.77,6.95,4.5e-09,6.2e-10,4.0e-09,4.3e-07,2.1e-06,1.4e-06,2.9e-06,9.0e-10,1.5e-09,2.2e-06,3.1e-07,ATE,"Otto Matic",17246,1975-10-03,2022-12-21,3790,9,2,0,.27453,,,,-3.5e-15,7.4e-16,,,,
20002101,"  2101 Adonis (1936 CA)",2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,,,"JPL 47",2460000.5,60000,2023-02-25.0,J2000,0.7643,1.874,0.442,1.32,349.47,43.63,0.33,3.31,0.3842,2459999.65,2023-02-24.1,937,2.57,0.0115,4.49,2.15,3.55,5.9e-08,9.5e-09,1.1e-07,9.6e-06,4.5e-04,4.5e-04,9.3e-06,1.7e-08,2.9e-09,2.4e-05,7.1e-06,APO,"Otto Matic",30790,1936-02-21,2020-06-09,123,0,5,0,.39458,,,,-3.3e-14,5.7e-15,,,,
20002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,,Y,Y,0,15.97,,,,,,,1.649,,0.245,2.384,,,,,Q,,,0.04,"JPL 253",2460000.5,60000,2023-02-25.0,J2000,0.2993,1.29,0.904,64.00,94.35,61.53,34.65,1.68,0.6726,2459948.98,2023-01-04.4,535,1.47,0.0424,16.5,3.77,4.45,2.0e-09,8.4e-10,2.5e-09,2.9e-07,3.1e-07,6.9e-07,1.4e-06,1.1e-09,6.6e-10,2.1e-06,5.2e-07,APO,"Otto Matic",17351,1975-12-30,2023-07-02,1634,1,0,0,.31003,,,,,,,,,
20002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,,,"JPL 24",2460000.5,60000,2023-02-25.0,J2000,0.5029,1.6,0.795,23.07,191.12,290.97,270.07,2.40,0.4871,2460185.13,2023-08-28.6,739,2.02,0.00983,3.83,2.96,4.13,1.3e-06,7.8e-08,2.0e-06,5.1e-05,3.4e-04,1.6e-04,7.4e-04,1.2e-07,3.6e-08,1.5e-03,5.4e-05,APO,"Otto Matic",15749,1977-04-17,2020-05-30,61,,,1,.54865,,,,,,,,,
20002201,"  2201 Oljato (1947 XC)",2201,Oljato,,Y,Y,0,15.35,,,,,,,1.80,,0.4328,26,,,,,Sq,,,0.10,"JPL 246",2460000.5,60000,2023-02-25.0,J2000,0.7121,2.177,0.627,2.52,74.91,98.38,150.40,3.73,0.3069,2459510.47,2021-10-22.9,1.17e+03,3.21,0.00299,1.16,1.24,3.3,3.0e-08,8.8e-09,6.4e-08,3.3e-06,1.0e-04,1.0e-04,4.4e-06,1.5e-08,1.9e-09,1.1e-05,7.1e-06,APO,"Otto Matic",33176,1931-12-03,2022-10-02,1175,0,5,0,.45879,,,,,,,,,
20002202,"  2202 Pele (1972 RA)",2202,Pele,,Y,N,0,17.14,,,,,,,,,,,,,,,,,,,"JPL 75",2460000.5,60000,2023-02-25.0,J2000,0.5127,2.291,1.117,8.74,169.93,217.93,185.36,3.47,0.2842,2460615.00,2024-10-31.5,1.27e+03,3.47,0.143,55.7,2.02,3.4,4.7e-08,2.5e-09,1.1e-07,5.9e-06,3.3e-05,3.4e-05,8.2e-06,3.7e-09,4.6e-10,3.0e-05,2.1e-06,AMO,"Otto Matic",18101,1972-09-07,2022-03-30,324,,,0,.56531,,,,,,,,,
20002212,"  2212 Hephaistos (1978 SB)",2212,Hephaistos,,Y,N,0,13.52,,,,,,,5.7,,0.163,48,,0.766,0.397,,,SG,,,"JPL 593",2460000.5,60000,2023-02-25.0,J2000,0.8373,2.16,0.351,11.54,27.50,209.41,359.54,3.97,0.3105,2460001.97,2023-02-26.4,1.16e+03,3.17,0.116,45.1,1.16,3.1,2.3e-08,3.6e-09,5.1e-08,4.8e-06,1.7e-05,1.7e-05,2.9e-06,6.7e-09,7.8e-10,9.3e-06,2.9e-06,APO,"Otto Matic",16362,1978-09-27,2023-07-15,3436,,,0,.41083,,,,,,,,,
20002329,"  2329 Orthos (1976 WA)",2329,Orthos,,Y,N,0,14.57,,,,,,,,,,4.6473,,,,,,,,,"JPL 366",2460000.5,60000,2023-02-25.0,J2000,0.6537,2.41,0.834,24.47,169.28,146.08,167.91,3.98,0.2635,2459363.27,2021-05-28.7,1.37e+03,3.74,0.0953,37.1,1.71,3.1,2.5e-08,6.4e-09,6.0e-08,4.5e-06,8.9e-06,9.1e-06,3.7e-06,1.1e-08,1.0e-09,1.3e-05,5.4e-06,APO,"Otto Matic",17095,1976-05-31,2023-03-21,1811,,,0,.43616,,,,,,,,,
20002340,"  2340 Hathor (1976 UA)",2340,Hathor,,Y,Y,0,20.43,,,,,,,0.3,,,3.35,,0.770,0.500,,Sq,CSU,,,"JPL 62",2460000.5,60000,2023-02-25.0,J2000,0.4499,0.8438,0.464,5.86,211.31,40.09,10.46,1.22,1.272,2459992.27,2023-02-16.7,283,0.775,0.00646,2.51,3.81,6.88,3.6e-08,9.4e-10,3.1e-08,4.3e-06,1.3e-05,1.4e-05,5.4e-06,1.4e-09,2.1e-09,4.3e-06,4.7e-07,ATE,Giorgini,16477,1976-10-25,2021-12-05,572,4,3,0,.37471,,,,-3.0e-14,6.3e-16,,,,
20002368,"  2368 Beltrovata (1977 RA)",2368,Beltrovata,,Y,N,0,15.19,,,,,,,2.3,,0.27,5.786,,0.830,0.520,,,SQ,,,"JPL 319",2460000.5,60000,2023-02-25.0,J2000,0.4133,2.105,1.235,5.22,287.31,43.12,324.94,2.98,0.3227,2460109.14,2023-06-13.6,1.12e+03,3.05,0.232,90.3,2.42,3.62,2.4e-08,3.5e-09,4.9e-08,2.6e-06,1.5e-05,1.6e-05,1.4e-05,4.9e-09,8.0e-10,4.3e-05,2.8e-06,AMO,"Otto Matic",16757,1977-09-04,2023-07-22,1588,,,0,.52483,,,,,,,,,
20002608,"  2608 Seneca (1978 DA)",2608,Seneca,,Y,N,0,17.48,,,,,,,0.9,,0.21,8,,0.826,0.454,,,S,,,"JPL 24",2460000.5,60000,2023-02-25.0,J2000,0.5701,2.523,1.085,14.64,167.30,37.65,126.45,3.96,0.2459,2459486.24,2021-09-28.7,1.46e+03,4.01,0.138,53.6,1.13,3.17,1.1e-07,1.8e-08,2.7e-07,1.8e-05,3.1e-05,1.1e-04,1.9e-04,2.9e-08,2.7e-09,7.6e-04,1.6e-05,AMO,"Otto Matic",16284,1978-02-17,2022-09-18,83,,,1,.64986,,,,,,,,,
20003102,"  3102 Krok (1981 QA)",3102,Krok,,Y,N,0,16.17,,,,,,,1.6,,,149.4,,0.834,0.521,,S,QRS,,,"JPL 381",2460000.5,60000,2023-02-25.0,J2000,0.4496,2.151,1.184,8.44,172.05,154.80,54.24,3.12,0.3125,2459826.92,2022-09-04.4,1.15e+03,3.15,0.182,70.8,2.27,3.56,1.4e-08,1.4e-09,3.1e-08,2.1e-06,1.6e-05,1.6e-05,2.4e-06,2.1e-09,3.2e-10,7.7e-06,1.2e-06,AMO,"Otto Matic",15121,1981-08-21,2023-01-14,2311,,,0,.43653,,,,,,,,,
20003103,"  3103 Eger (1982 BB)",3103,Eger,,Y,N,0,15.33,,,,,,,1.5,,0.64,5.7103,,0.732,0.235,,Xe,,,,"JPL 719",2460000.5,60000,2023-02-25.0,J2000,0.3543,1.404,0.907,20.93,129.74,254.09,308.67,1.90,0.5925,2460087.13,2023-05-22.6,608,1.66,0.0786,30.6,3.71,4.61,1.0e-08,2.8e-10,1.4e-08,1.0e-06,1.9e-06,2.8e-06,2.2e-06,3.8e-10,1.8e-10,3.8e-06,1.8e-07,APO,"Otto Matic",14756,1982-01-21,2022-06-16,7800,1,3,0,.28211,,,,,,,,,
20003122,"  3122 Florence (1981 ET3)",3122,Florence,,Y,Y,2,14.10,,,,,,,4.9,,0.231,2.3581,,,,,S,,,,"JPL 742",2460000.5,60000,2023-02-25.0,J2000,0.4232,1.769,1.020,22.14,336.06,27.87,109.37,2.52,0.4189,2459739.44,2022-06-08.9,859,2.35,0.0434,16.9,3,3.92,5.5e-09,3.5e-09,9.7e-09,1.8e-06,1.2e-06,3.3e-06,2.4e-06,4.9e-09,1.2e-09,5.0e-06,2.5e-06,AMO,"Otto Matic",16161,1979-03-09,2023-06-07,8133,6,0,0,.25439,,,,,,,,,
20003199,"  3199 Nefertiti (1982 RA)",3199,Nefertiti,,Y,N,0,15.03,,,,,,,2.2,,0.42,3.021,,0.895,0.418,,Sq,S,,,"JPL 424",2460000.5,60000,2023-02-25.0,J2000,0.2842,1.575,1.127,32.96,339.99,53.41,139.65,2.02,0.4988,2459720.52,2022-05-21.0,722,1.98,0.215,83.6,3.62,4.19,3.0e-08,2.1e-09,4.7e-08,1.3e-06,1.5e-06,7.3e-06,1.3e-05,2.6e-09,9.8e-10,2.6e-05,1.4e-06,AMO,"Otto Matic",14858,1982-09-13,2023-05-19,3441,0,1,0,.38333,,,,,,,,,
20003200,"  3200 Phaethon (1983 TB)",3200,Phaethon,,Y,Y,0,14.40,,,,,,,6.25,,0.1066,3.604,,,,,B,F,,0.15,"JPL 780",2460000.5,60000,2023-02-25.0,J2000,0.8899,1.271,0.140,22.27,265.17,322.22,196.51,2.40,0.6876,2460238.29,2023-10-20.7,524,1.43,0.0195,7.6,2.73,4.51,1.3e-09,1.4e-09,1.6e-09,4.2e-07,9.8e-07,9.2e-07,1.6e-06,2.7e-09,1.2e-09,2.7e-06,8.9e-07,APO,"Davide Farnocchia",14244,1983-10-27,2022-10-26,5620,8,0,0,.29598,,,,-6.7e-15,8.0e-16,,,,
20003271,"  3271 Ul (1982 RB)",3271,Ul,,Y,N,0,16.58,,,,,,,,,,,,,,,,,,,"JPL 71",2460000.5,60000,2023-02-25.0,J2000,0.3960,2.101,1.269,25.08,158.81,159.10,110.43,2.93,0.3236,2459659.29,2022-03-20.7,1.11e+03,3.05,0.274,107,2.49,3.53,1.1e-07,2.2e-08,2.2e-07,9.0e-06,1.1e-05,6.0e-05,9.7e-05,3.1e-08,5.2e-09,3.0e-04,1.8e-05,AMO,"Otto Matic",14744,1982-09-14,2023-01-26,239,,,0,.57519,,,,,,,,,
20003288,"  3288 Seleucus (1982 DV)",3288,Seleucus,,Y,N,0,15.35,,,,,,,2.8,,0.22,75,,0.910,0.500,,K,S,,,"JPL 432",2460000.5,60000,2023-02-25.0,J2000,0.4563,2.033,1.105,5.93,218.62,349.28,37.30,2.96,0.3401,2459890.82,2022-11-07.3,1.06e+03,2.9,0.102,39.6,2,3.67,4.8e-09,1.7e-09,9.8e-09,3.3e-07,3.3e-06,3.5e-06,1.1e-06,2.5e-09,4.3e-10,3.0e-06,1.3e-06,AMO,"Otto Matic",15110,1982-02-28,2023-07-13,2202,,,0,.46978,,,,,,,,,
