2461041.500000000, A.D. 2026-Jan-01 00:00:00.0000,  1.591429536350342E-02,  1.470986021592249E+08,  3.549055731418342E-03,  1.776179030721728E+02,  2.863568704502947E+02,  2.461045196355864E+06,  1.142130337831415E-05,  3.563524337712979E+02,  3.562340674073986E+02,  1.494774301325314E+08,  1.518562581058380E+08,  3.152004531142557E+07,
2461042.500000000, A.D. 2026-Jan-02 00:00:00.0000,  1.581116368266497E-02,  1.470993377695406E+08,  3.709647891573523E-03,  1.694367264161388E+02,  2.942063286964735E+02,  2.461044870927643E+06,  1.142301315915226E-05,  3.576600169061483E+02,  3.575845527680661E+02,  1.494625140435051E+08,  1.518256903174696E+08,  3.151532743456253E+07,
2461043.500000000, A.D. 2026-Jan-03 00:00:00.0000,  1.575985862124483E-02,  1.470997938303751E+08,  3.933874530263463E-03,  1.624820721018839E+02,  3.007810155258197E+02,  2.461044498008708E+06,  1.142385325395460E-05,  3.590149445259025E+02,  3.589832740821237E+02,  1.494551864388634E+08,  1.518105790473517E+08,  3.151300983977351E+07,
2461044.500000000, A.D. 2026-Jan-04 00:00:00.0000,  1.576344194988733E-02,  1.470998791227284E+08,  4.177825679017275E-03,  1.571624384517649E+02,  3.057085722505091E+02,  2.461044113152269E+06,  1.142378093196358E-05,  3.818243866146529E-01,  3.941037862012517E-01,  1.494558172215737E+08,  1.518117553204190E+08,  3.151320934321535E+07,
2461045.500000000, A.D. 2026-Jan-05 00:00:00.0000,  1.581930320712987E-02,  1.470996008198341E+08,  4.396398049812851E-03,  1.534816070288243E+02,  3.090213817609779E+02,  2.461043751944192E+06,  1.142284081169874E-05,  1.725214742564306E+00,  1.780889401276050E+00,  1.494640174301168E+08,  1.518284340403996E+08,  3.151580293680577E+07,
2461046.500000000, A.D. 2026-Jan-06 00:00:00.0000,  1.592017981277005E-02,  1.470990525056395E+08,  4.555667830954123E-03,  1.512480206463328E+02,  3.109406912548397E+02,  2.461043443597067E+06,  1.142114848676767E-05,  3.016019381547558E+00,  3.113950699311057E+00,  1.494787815866934E+08,  1.518585106677474E+08,  3.152047278056926E+07,
2461047.500000000, A.D. 2026-Jan-07 00:00:00.0000,  1.605605801624153E-02,  1.470983792911217E+08,  4.636947906052039E-03,  1.502341972853848E+02,  3.117135415104690E+02,  2.461043207345338E+06,  1.141886147111196E-05,  4.235088579240083E+00,  4.373735058990555E+00,  1.494987397295747E+08,  1.518991001680278E+08,  3.152678582805712E+07,
2461048.500000000, A.D. 2026-Jan-08 00:00:00.0000,  1.621613245034746E-02,  1.470977391044712E+08,  4.635216500723446E-03,  1.502515972726101E+02,  3.115376614444748E+02,  2.461043052210459E+06,  1.141614956810864E-05,  5.373456211230253E+00,  5.551055091774253E+00,  1.495224143803588E+08,  1.519470896562464E+08,  3.153427500684391E+07,
2461049.500000000, A.D. 2026-Jan-09 00:00:00.0000,  1.639022546290004E-02,  1.470972746364337E+08,  4.555347655481273E-03,  1.511732371751598E+02,  3.105409416415066E+02,  2.461042979058492E+06,  1.141317341024815E-05,  6.430288570572758E+00,  6.645001269007140E+00,  1.495484067405284E+08,  1.519995388446232E+08,  3.154249804675252E+07,
2461050.500000000, A.D. 2026-Jan-10 00:00:00.0000,  1.656949232914232E-02,  1.470970999025905E+08,  4.408410886725334E-03,  1.529339169957879E+02,  3.087840498191687E+02,  2.461042983401543E+06,  1.141007373746379E-05,  7.410091044998514E+00,  7.660099729649565E+00,  1.495754898340231E+08,  1.520538797654556E+08,  3.155106691536772E+07,
2461051.500000000, A.D. 2026-Jan-11 00:00:00.0000,  1.674654847612810E-02,  1.470972978910841E+08,  4.209018989123441E-03,  1.555226838655439E+02,  3.062704476061126E+02,  2.461043057841538E+06,  1.140696945331965E-05,  8.320271935386241E+00,  8.603832420622211E+00,  1.496026255113662E+08,  1.521079531316483E+08,  3.155965319914423E+07,
2461052.500000000, A.D. 2026-Jan-12 00:00:00.0000,  1.691525967342556E-02,  1.470979236805824E+08,  3.973834023968151E-03,  1.589713567914700E+02,  3.029595348712717E+02,  2.461043193714037E+06,  1.140396091488177E-05,  9.169504247665074E+00,  9.484968585983482E+00,  1.496289359874688E+08,  1.521599482943553E+08,  3.156797911594143E+07,
2461053.500000000, A.D. 2026-Jan-13 00:00:00.0000,  1.707040648518302E-02,  1.470990086087736E+08,  3.720892565216102E-03,  1.633362685475267E+02,  2.987857728369360E+02,  2.461043381939847E+06,  1.140113529004109E-05,  9.966876999246420E+00,  1.031270019078530E+01,  1.496536573721098E+08,  1.522083061354460E+08,  3.157580283381607E+07,
2461054.500000000, A.D. 2026-Jan-14 00:00:00.0000,  1.720736312355664E-02,  1.471005630556213E+08,  3.469197343065418E-03,  1.686657734768113E+02,  2.936914346837951E+02,  2.461043613279443E+06,  1.139857182523239E-05,  1.072164092071696E+01,  1.109638378243441E+01,  1.496760939552244E+08,  1.522516248548275E+08,  3.158290402689639E+07,
2461055.500000000, A.D. 2026-Jan-15 00:00:00.0000,  1.732186951142602E-02,  1.471025769797896E+08,  3.237889297460056E-03,  1.749449889150573E+02,  2.876817409530614E+02,  2.461043878212100E+06,  1.139634575225730E-05,  1.144332689729948E+01,  1.184566379823012E+01,  1.496955843584839E+08,  1.522885917371782E+08,  3.158907318415590E+07,
2461056.500000000, A.D. 2026-Jan-16 00:00:00.0000,  1.740993580762735E-02,  1.471050183261011E+08,  3.044301870954442E-03,  1.820190734055176E+02,  2.809012687807167E+02,  2.461044166629091E+06,  1.139453013842544E-05,  1.214204830828004E+01,  1.257078516255546E+01,  1.497114856814802E+08,  1.523179530368593E+08,  3.159410661313559E+07,
2461057.500000000, A.D. 2026-Jan-17 00:00:00.0000,  1.746789393349072E-02,  1.471078299865362E+08,  2.900646293994355E-03,  1.895251007002087E+02,  2.737017291653088E+02,  2.461044467491656E+06,  1.139319534918630E-05,  1.282883732262872E+01,  1.328294203875088E+01,  1.497231785895230E+08,  1.523385271925099E+08,  3.159780807459876E+07,
2461058.500000000, A.D. 2026-Jan-18 00:00:00.0000,  1.749259019753355E-02,  1.471109263139713E+08,  2.810326422917216E-03,  1.968936005784598E+02,  2.666401641663373E+02,  2.461044768574518E+06,  1.139240611122876E-05,  1.351589548982003E+01,  1.399453987350759E+01,  1.497300934794456E+08,  1.523492606449200E+08,  3.159999709325418E+07,
2461059.500000000, A.D. 2026-Jan-19 00:00:00.0000,  1.748169058680336E-02,  1.471141903020867E+08,  2.766267987505177E-03,  2.034571619640617E+02,  2.603702647788087E+02,  2.461045056389324E+06,  1.139221654192738E-05,  1.421666557612242E+01,  1.471927456824857E+01,  1.497317545053688E+08,  1.523493187086509E+08,  3.160052292502278E+07,
